Post ID,Confirmed DesignTag1,Confirmed DesignTag2,Confirmed DesignTag3,App Technology,App Domain,App Size,Platform Context,Organizational Context,Technical Context,Quality attributes,Other 1,Other 2,Other 3
55972746,MVC,,,Web Application,LMS,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
48710606,REST,,,Distributed Systems,NONE,NONE,Network context,NONE,NONE,NONE,Hardware context,NONE,NONE
17433046,REST,,,NONE,NONE,NONE,Databases,NONE,Testing standards,performance,NONE,NONE,NONE
12331693,REST,,,Web Application,NONE,NONE,Network context,NONE,NONE,performance,security,NONE,NONE
46171533,microservices,,,Web Application,NONE,NONE,Databases,NONE,Quality standards,performance,reliability,NONE,NONE
24226529,REST,,,NONE,NONE,NONE,Databases,NONE,Quality standards,security,Network context,NONE,NONE
4244437,SINGLETON,MVC,,NONE,NONE,NONE,Databases,NONE,Quality standards,modifiability,Development methodology,NONE,NONE
15302901,REST,,,Web Application,NONE,NONE,NONE,NONE,Development methodology,NONE,NONE,NONE,NONE
9774067,REST,,,Web Application,NONE,NONE,Network context,NONE,NONE,performance,NONE,NONE,NONE
30126720,REST,,,Web Application,NONE,NONE,Databases,NONE,Development methodology,performance,NONE,NONE,NONE
10213307,MVC,,,NONE,NONE,NONE,Databases,NONE,NONE,NONE,NONE,NONE,NONE
39922562,REST,,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
8357464,REST,,,Mobile Application,NONE,NONE,NONE,NONE,Quality standards,security,NONE,NONE,NONE
56138840,activerecord,,,Distributed Systems,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
13555242,no,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,
8148702,soa,,,NONE,NONE,NONE,Databases,NONE,NONE,modifiability,performance,Network context,NONE
41039280,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
20172357,publish-subscribe,EDA,,NONE,NONE,NONE,Databases,NONE,Quality standards,modifiability,NONE,NONE,NONE
44696108,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,security,NONE,NONE,NONE
36721212,REST,,,Web Application,NONE,NONE,NONE,NONE,Testing standards/ Methods,security,NONE,NONE,NONE
27737290,REST,,,Web Application,NONE,NONE,NONE,NONE,NONE,availability,NONE,NONE,NONE
10105093,REST,SOA,,Information Systems,Financial Systems,NONE,NONE,Development schedule,Development methodology,security,NONE,NONE,NONE
33883088,decorator,,,NONE,NONE,NONE,Databases,NONE,NONE,performance,NONE,NONE,NONE
43530030,REST,,,Embedded Systems,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
38464606,ACTIVERECORD,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
37589737,REST,,,NONE,NONE,NONE,Databases,NONE,NONE,security,NONE,NONE,NONE
14360122,p2p,,,Information Systems,NONE,NONE,Network context,NONE,NONE,security,NONE,NONE,NONE
41308883,MVC,,,Web Application,NONE,NONE,Databases,NONE,NONE,performance,Standalone Systems,NONE,NONE
39686227,microservices,,,NONE,NONE,NONE,Databases,NONE,NONE,NONE,NONE,NONE,NONE
54020783,decorator,,,NONE,NONE,NONE,NONE,NONE,Development methodology,availability,NONE,NONE,NONE
33348620,ACTIVERECORD,,,NONE,NONE,NONE,Databases,NONE,Testing standards/ Methods,performance,Quality standards,NONE,NONE
