,Id,data_nocode,ContextTag,data_phraseList
0,55972746,"['team', 'building', 'proprietary', 'learning', 'management', 'system', 'organization', 'user', 'enrolled', 'online', 'course', 'sending', 'email', 'user', 'instructions', 'logging', 'course', 'enrolling', 'users', 'en', 'masse', 'obviously', 'causing', 'performance', 'issues', 'developing', 'framework', 'queuing', 'emails', 'sending', 'asynchronously', 'platform', 'deployed', 'azure', 'web', 'app', 'azure', 'sql', 'database', 'written', 'net', 'mvc', 'sending', 'emails', 'smtp', 'recommendations', 'best', 'practice', 'effective', 'way', 'accomplish', 'looked', 'azure', 'service', 'bus', 'thirdparty', 'open', 'source', 'solutions', 'hangfire', 'standard', 'console', 'application', 'processes', 'database', 'table', 'emails', 'sent']",yes,"['azure service bus third party open source solution', 'azure sql database', 'azure web app', 'user en masse', 'proprietary learning management system', 'standard console application', 'mvc application', 'email', 'database table', 'online course']"
2,17433046,"['built', 'rest', 'api', 'exposes', 'bunch', 'business', 'services', 'business', 'service', 'invoke', 'platformutility', 'services', 'perform', 'database', 'read', 'writes', 'perform', 'service', 'authorization', 'etc', 'deployed', 'services', 'war', 'files', 'tomcat', 'test', 'setup', 'integration', 'test', 'suite', 'treat', 'regression', 'test', 'suite', 'good', 'approach', 'perform', 'integration', 'testing', 'tools', 'speed', 'development', 'suite', 'requirements', 'think', 'address', 'ability', 'define', 'integration', 'test', 'cases', 'exercise', 'business', 'scenarios', 'set', 'db', 'test', 'data', 'suite', 'run', 'invoke', 'rest', 'api', 'running', 'remote', 'server', 'tomcat', 'validate', 'db', 'post', 'test', 'execution', 'verifying', 'expected', 'output', 'code', 'coverage', 'report', 'rest', 'api', 'confident', 'scenarios', 'covered', 'suite']",yes,"['business service', 'platform utility service', 'rest api', 'service authorization', 'rest apis', 'business scenario', 'remote server tomcat', 'suite', 'integration', 'db post']"
4,46171533,"['microsoft', 'micro', 'service', 'architecture', 'reliable', 'multiple', 'micro', 'services', 'single', 'micro', 'service', 'developed', '2', 'different', 'micro', 'services', 'customers', 'orders', 'database', 'ie', 'customer', 'db', 'order', 'db', 'combined', 'data', 'customers', 'orders', 'best', 'option', 'simply', 'microservice', '2', 'separate', 'microservices', 'customers', 'orders', 'combined', 'data', 'return', 'response', 'choice', 'usage', 'true', 'way', '2', 'separate', 'micro', 'services', 'application', 'combined', 'data', 'option', 'best', 'performance', 'reliable', 'standard', 'approach', 'process', 'tell', 'options', 'thing', 'performance', 'better', 'micro', 'service', 'response', 'application', 'options', 'available', 'specify']",yes,"['micro service microsoft micro service architecture', 'separate micro service', 'micro service response', 'multiple micro service', 'single micro service', 'micro service', 'best performance reliable', 'best option', 'customer db', 'order db']"
6,4244437,"['codebase', 'handed', 'work', 'features', 'databse', 'class', 'inherits', 'mdb2', 'forms', 'basis', 'mvc', 'framework', 'use', 'custom', 'built', 'affair', 'models', 'turn', 'inherit', 'db', 'sure', 'noticed', 'leads', 'big', 'problem', 'time', 'instantiate', 'model', 'result', 'new', 'database', 'connection', 'created', 'obviously', 'wasteful', 'means', 'unable', 'use', 'transactions', 'intended', 'transaction', 'starts', 'instance', 'model', 'effects', 'invisible', 'instances', 'commit', 'occurs', 'plan', 'change', 'db', 'class', 'encapsulate', 'mdb2', 'instead', 'inheriting', 'maintain', 'single', 'instance', 'mdb2', 'singleton', 'functionality', 'mdb2', 'big', 'library', 'lot', 'methods', 'lot', 'stuff', 'higher', 'code', 'base', 'depends', 'able', 'access', 'mdb2', 'methods', 'way', 'encapsulate', 'mdb2', 'class', 'pass', 'calls', 'modifying', 'higher', 'layers', 'write', 'wrapper', 'method', 'method', 'mdb2']",yes,"['access mdb2 method', 'mdb2 class', 'db class', 'databse class', 'single instance', 'wrapper method', 'high layer', 'stuff high', 'big problem', 'model']"
10,10213307,"['mvc3', 'application', 'partial', 'views', '1controls', '2webgrid', 'inside', 'controls', 'populating', 'dropdownlists', 'actual', 'database', 'tables', 'ef', 'indexcshtml', 'form', 'select', 'values', 'dropdown', 'lists', 'press', 'insert', 'button', 'values', 'temp', 'datatable', 'webgridim', 'mvc3', 'dont', 'securityidentifiermapping', '3rd', 'table', 'database', 'inserting', 'form', 'data', 'insert', 'datatable']",yes,"['actual database table', 'form data', 'datatable', 'dropdown list', 'partial view', 'webgrid', 'control', 'application', 'press', 'cshtml']"
11,39922562,"['implementing', 'api', 'cakephp3', 'mysql', 'database', 'works', 'fine', 'endpoints', 'secured', 'basic', 'authentication', 'noticed', 'performance', 'dreadful', 'speed', 'tests', 'loaderio', 'noticed', 'response', 'times', '400ms', 'dont', 'point', 'deactivated', 'authcomponent', 'cakephp', 'suddenly', 'response', 'time', '120ms', 'digging', 'implemented', 'basicauthentication', 'reading', 'header', 'comparing', 'user', 'amp', 'password', 'users', 'table', 'database', '120ms', 'response', 'time', 'cakephp3', 'authcomponent', 'bloated', 'noticed', 'authcomponent', 'activated', 'phpfpm', 'uses', 'large', 'cpu', 'authcomponent', 'practicly', 'implemented', 'basicauth', 'exactly', 'described', 'cakephp', 'documentation', 'dont', 'going', 'prefer', 'use', 'actual', 'cakephp', 'methods', 'implementing', 'check', 'anybody', 'issue', 'dont', 'understand', 'going']",yes,"['actual cakephp method', 'response time', 'cakephp3 authcomponent', 'cakephp documentation', 'user amp password', 'mysql database', 'check ha', 'basic authentication', 'speed test', 'large amount']"
15,8148702,"['dont', 'understand', 'soa', 'serviceoriented', 'architecture', 'databases', 'attracted', 'soa', 'concept', 'encapsulating', 'reusable', 'business', 'logic', 'services', 'figure', 'supposed', 'work', 'data', 'tables', 'encapsulated', 'service', 'required', 'servicessystemsor', 'soa', 'suitable', 'scenario', 'concrete', 'suppose', 'services', 'customerservice', 'contains', 'customers', 'database', 'table', 'associated', 'business', 'logic', 'orderservice', 'contains', 'orders', 'table', 'logic', 'join', 'customers', 'orders', 'tables', 'sql', 'statement', 'tables', 'contain', 'millions', 'entries', 'unacceptable', 'performance', 'result', 'send', 'data', 'network', 'soapxml', 'perform', 'join', 'little', 'research', 'found', 'proposed', 'solutions', 'use', 'replication', 'local', 'copy', 'required', 'data', 'needed', 'theres', 'encapsulation', 'point', 'soa', 'discussed', 'stackoverflow', 'theres', 'clear', 'consensus', 'set', 'master', 'data', 'service', 'encapsulates', 'database', 'data', 'guess', 'monster', 'sized', 'essentially', 'api', 'stored', 'procedure', 'require', 'updates', 'time', 'related', 'enterprise', 'data', 'bus', 'concept', 'input', 'let', 'edit', 'year', 'passed', 'interest', 'soa', 'diminished', 'concepts', 'popularity', 'general', 'nowadays', 'people', 'focus', 'restful', 'services', 'instead']",yes,"['master data service', 'enterprise data bus concept', 'understand soa service', 'data table', 'soa concept', 'soa ha', 'service system', 'service customerservice', 'restful service', 'order table']"
16,41039280,"['developed', 'web', 'application', 'java', 'ee', 'connects', 'db', 'app', 'deployed', 'tomcat', '8', 'app', 'divided', 'layers', 'db', 'layer', 'business', 'layer', 'presentation', 'layer', 'develop', 'restful', 'api', 'use', 'business', 'layer', 'provide', 'functions', 'presentation', 'layer', 'provides', 'clients', 'options', 'choose', 'open', 'browser', 'connect', 'app', 'use', 'consume', 'restful', 'web', 'services', 'software', 'deploy', 'restful', 'api', 'server', 'app', 'deployed', 'separately', 'suggestions', 'kind', 'authentication', 'suggest', 'rest', 'web', 'services', 'thanks']",yes,"['layer business layer', 'restful web service', 'rest web service', 'presentation layer', 'business layer', 'restful api', 'web application', 'app', 'java ee', 'browser connect']"
18,44696108,"['rest', 'service', 'django', 'authentication', 'username', 'password', 'required', 'password', 'requestuserpassword', 'cleantext', 'format', 'pbkdf2', 'sha25636000ropm97qphsy4nfkccfmmve1z6c1ugrizj6tyqck3befegy3gic8', 'good', 'security', 'point', 'view', 'far', 'secured', 'rest', 'service', 'needs', 'cleantext', 'password', 'perform', 'authentication', 'wouldnt', 'big', 'fan', 'storing', 'password', 'user', 'logs', 'secured', 'rest', 'service', 'called', 'django', 'update', 'django', 'web', 'application', 'users', 'log', 'rest', 'called', 'completely', 'separate', 'spring', 'boot', 'application', 'provides', 'rest', 'interface', 'moment', 'secured', 'implement', 'authentication']",yes,"['ropm97qphsy4 nfkccfmmve1z6c1u grizj6tyqck3be fe gy3gi c8', 'clean text password', 'rest service', 'request user password', 'authentication username password', 'django web application', 'rest ha', 'rest interface', 'separate spring boot application', 'clean text format']"
19,36721212,"['setup', 'rest', 'based', 'web', 'application', 'frontend', 'reactjs', 'backend', 'spring', 'boot', 'setup', 'custom', 'authentication', 'provider', 'problems', 'start', 'test', 'login', 'api', 'customauthenticationprovider', 'called', 'instead', 'default', 'daoauthenticationprovider', 'causes', 'login', 'report', 'bad', 'credentials', 'upload', 'small', 'sample', 'application', 'github', 'springbootauthdemo', 'test', 'login', 'api', 'use', 'curl', 'customauthenticationprovider', 'simple', 'usernamepassword', 'check', 'returns', 'usernamepasswordauthenicationtoken', 'object', 'customauthenticationprovider', 'wired', 'securityconfiguration', 'class', 'stepping', 'code', 'customauthenicationprovider', 'list', 'providers', 'authenticate', 'incoming', 'request']",yes,"['boot custom authentication provider', 'custom authentication provider', 'simple username password check', 'login api', 'small sample application', 'customauthenticationprovider doe', 'web application', 'usernamepasswordauthenicationtoken object', 'securityconfiguration class', 'java configuration']"
